,dim1
APOBEC3C,-0.0015654004591677494
APOC2,-0.005843317187182903
TNPO3,0.008739431013399614
PLA2G4D,-0.007624435631367444
NUAK2,-0.0022073456612136237
TRAV36DV7,-0.004340335648897545
NUDT7,-0.004073668146890237
INHBC,-0.007413875234569702
PLOD1,0.0012944952579972508
MSMP,-0.010419283970898058
CSNK1D,0.007952982598750161
DCAF4L2,-0.007792718531627526
LMAN1,0.005217701927226252
TRGV3,-0.006257309595963972
PIMREG,-0.010416403444892927
CCT7,0.007979373663073315
ADAM17,0.0051532930982199215
LAMC3,-0.0005105086470577261
KAZALD1,-0.00769629747097238
NUCKS1,0.006396051843965127
SNCA,0.008443385560546452
KRIT1,-0.0020863221947464545
GNAO1,0.013514658331057085
PXMP2,0.0004494863913831932
BAZ2B,0.020033934380724816
ELP1,0.0053055596176573025
TNNT1,0.002004367151275842
S100PBP,-0.0033801108642267826
PERP,0.002802911001793426
ZNF544,-0.0025855433538984882
ASB2,-0.002468539347568636
TUT7,0.005345102835448652
MS4A10,-0.009949968265695242
KLRC4,-0.0075154840011293885
SLC22A2,-0.0010876748872559122
HCLS1,0.001267904993262728
ZNF619,-0.01115453025006038
OOSP4A,-0.009739712503478314
TBPL1,0.004876891031924856
OSTF1,0.005810987840606255
GRAMD2A,-0.007057590473802854
TSPAN13,0.008201152019409541
C2orf76,0.0012319357562041052
CYP27B1,-0.004587757542104741
CDH16,-0.006034099929490878
MC5R,-0.0010442547927683975
LRRC31,-0.009894780117843137
PCDHB12,-0.0038601963802211334
EFHC1,0.002554294637220539
MFSD6L,-0.007442147532893546
KEL,-0.005198988179219694
NCR3,-0.007924133578239921
NKX1-2,-0.009382382812946483
RAB8A,0.005359867419853982
ACTL6A,0.004467709418769116
COPS3,0.0064255522709614175
CUL4A,0.010295621172271306
HOXA7,-0.0009110516221194904
SLC27A2,0.0020531206003759615
KIAA1671,0.0003317730724372517
SOX13,-0.0027060199214381845
GCFC2,0.002174264973683658
IGLV4-3,-0.0013500222024163018
NPIPB3,-0.008001267609514816
USP12,0.008656289210729704
CLUL1,-0.0077896258738964115
KCNK7,-0.008260632025322517
CA12,-0.0014353965695500445
INTS11,0.005016390103467172
KCTD1,0.01127919471255203
ORMDL2,0.0033587497991745888
OR1S2,0.002681533925198629
OOSP4B,-0.009444359342347513
NDUFAF2,0.005284458481211692
MANBA,0.004281577735826117
SLC39A13,-0.0032348479960023838
HKDC1,0.004112662115964263
TREML2,-0.013204252444098312
CCR5,-0.0018226402685264636
MCC,0.006444377789760033
PAK5,0.008010279021163844
IFNAR2,-0.004943055672993218
WLS,0.007114901905328322
ADCY8,0.00829076297650216
ZNF438,-0.002181376700532984
